Date,Section,Group,Subject,Student Name,Status,Phone Number,Notification Sent
2025-05-06,L,L3,Software Engineering,Yuvraj,Present,+919876543202,N/A
2025-05-06,L,L3,Software Engineering,Tanish,Absent,+919876543201,Yes
2025-05-06,L,L3,Software Engineering,Vishal,Absent,+919876543203,Yes
2025-05-06,L,L3,Software Engineering,Sanyam,Absent,+919876543205,Yes
2025-05-06,L,L3,Software Engineering,Suraj,Absent,+919876543204,Yes
2025-05-06,L,L3,Software Engineering,Tanish,Absent,+919876543201,Yes
2025-05-06,L,L3,Software Engineering,Vishal,Absent,+919876543203,Yes
2025-05-06,L,L3,Software Engineering,Sanyam,Absent,+919876543205,Yes
2025-05-06,L,L3,Software Engineering,Yuvraj,Absent,+919876543202,Yes
2025-05-06,L,L3,Software Engineering,Suraj,Absent,+919876543204,Yes
